,avg_temp,,7-Year MA,,,city,country,avg_temp,,7-Year MA,,,,,,,
1849,7.98,,,,1849,San Diego,United States,16.03,,,,,,,,,
1850,7.9,,,,1850,San Diego,United States,15.55,,,,,,,,,
1851,8.18,,,,1851,San Diego,United States,15.66,,,,,,,,,
1852,8.1,,,,1852,San Diego,United States,16.06,,,,,,,,,
1853,8.04,,,,1853,San Diego,United States,16.69,,,,,,,,,
1854,8.21,,,,1854,San Diego,United States,16.11,,,,,,,,,
1855,8.11,,8.074285714,,1855,San Diego,United States,16.31,,16.05857143,,,,,,,
1856,8,,8.077142857,,1856,San Diego,United States,15.75,,16.01857143,,,,,,,
1857,7.76,,8.057142857,,1857,San Diego,United States,16.41,,16.14142857,,,,,,,
1858,8.1,,8.045714286,,1858,San Diego,United States,15.96,,16.18428571,,,,,,,
1859,8.25,,8.067142857,,1859,San Diego,United States,15.64,,16.12428571,,,,,,,
1860,7.96,,8.055714286,,1860,San Diego,United States,15.74,,15.98857143,,,,,,,
1861,7.85,,8.004285714,,1861,San Diego,United States,16.82,,16.09,,,,,,,
1862,7.56,,7.925714286,,1862,San Diego,United States,16.37,,16.09857143,,,,,,,
1863,8.11,,7.941428571,,1863,San Diego,United States,16.1,,16.14857143,,,,,,,
1864,7.98,,7.972857143,,1864,San Diego,United States,16.87,,16.21428571,,,,,,,
1865,8.18,,7.984285714,,1865,San Diego,United States,16.18,,16.24571429,,,,,,,
1866,8.29,,7.99,,1866,San Diego,United States,16.64,,16.38857143,,,,,,,
1867,8.44,,8.058571429,,1867,San Diego,United States,16.99,,16.56714286,,,,,,,
1868,8.25,,8.115714286,,1868,San Diego,United States,16.53,,16.52571429,,,,,,,
1869,8.43,,8.24,,1869,San Diego,United States,16.3,,16.51571429,,,,,,,
1870,8.2,,8.252857143,,1870,San Diego,United States,15.85,,16.48,,,,,,,
1871,8.12,,8.272857143,,1871,San Diego,United States,16.13,,16.37428571,,,,15.49,,17.02,9.88%
1872,8.19,,8.274285714,,1872,San Diego,United States,15.7,,16.30571429,,,,7.94,,9.544286,20.21%
1873,8.35,,8.282857143,,1873,San Diego,United States,15.81,,16.18714286,,,,,,,
1874,8.43,,8.281428571,,1874,San Diego,United States,15.4,,15.96,,,,,,,
1875,7.86,,8.225714286,,1875,San Diego,United States,16.3,,15.92714286,,,,,,,
1876,8.08,,8.175714286,,1876,San Diego,United States,15.96,,15.87857143,,,,,,,
1877,8.54,,8.224285714,,1877,San Diego,United States,16.49,,15.97,,,,,,,
1878,8.83,,8.325714286,,1878,San Diego,United States,15.73,,15.91285714,,,,,,,
1879,8.17,,8.322857143,,1879,San Diego,United States,15.81,,15.92857143,,,,,,,
1880,8.12,,8.29,,1880,San Diego,United States,14.66,,15.76428571,,,,,,,
1881,8.27,,8.267142857,,1881,San Diego,United States,15.77,,15.81714286,,,,,,,
1882,8.13,,8.305714286,,1882,San Diego,United States,15.16,,15.65428571,,,,,,,
1883,7.98,,8.291428571,,1883,San Diego,United States,15.83,,15.63571429,,,,,,,
1884,7.77,,8.181428571,,1884,San Diego,United States,15.47,,15.49,,,,,,,
1885,7.92,,8.051428571,,1885,San Diego,United States,16.51,,15.60142857,,,,,,,
1886,7.95,,8.02,,1886,San Diego,United States,15.86,,15.60857143,,,,,,,
1887,7.91,,7.99,,1887,San Diego,United States,15.74,,15.76285714,,,,,,,
1888,8.09,,7.964285714,,1888,San Diego,United States,16.04,,15.80142857,,,,,,,
1889,8.32,,7.991428571,,1889,San Diego,United States,16.38,,15.97571429,,,,,,,
1890,7.97,,7.99,,1890,San Diego,United States,16.1,,16.01428571,,,,,,,
1891,8.02,,8.025714286,,1891,San Diego,United States,15.86,,16.07,,,,,,,
1892,8.07,,8.047142857,,1892,San Diego,United States,15.57,,15.93571429,,,,,,,
1893,8.06,,8.062857143,,1893,San Diego,United States,15.45,,15.87714286,,,,,,,
1894,8.16,,8.098571429,,1894,San Diego,United States,15,,15.77142857,,,,,,,
1895,8.15,,8.107142857,,1895,San Diego,United States,15.66,,15.71714286,,,,,,,
1896,8.21,,8.091428571,,1896,San Diego,United States,16.15,,15.68428571,,,,,,,
1897,8.29,,8.137142857,,1897,San Diego,United States,15.57,,15.60857143,,,,,,,
1898,8.18,,8.16,,1898,San Diego,United States,15.75,,15.59285714,,,,,,,
1899,8.4,,8.207142857,,1899,San Diego,United States,15.78,,15.62285714,,,,,,,
1900,8.5,,8.27,,1900,San Diego,United States,16.5,,15.77285714,,,,,,,
1901,8.54,,8.324285714,,1901,San Diego,United States,16.03,,15.92,,,,,,,
1902,8.3,,8.345714286,,1902,San Diego,United States,15.32,,15.87142857,,,,,,,
1903,8.22,,8.347142857,,1903,San Diego,United States,15.74,,15.81285714,,,,,,,
1904,8.09,,8.318571429,,1904,San Diego,United States,16.38,,15.92857143,,,,,,,
1905,8.23,,8.325714286,,1905,San Diego,United States,15.92,,15.95285714,,,,,,,
1906,8.38,,8.322857143,,1906,San Diego,United States,16.02,,15.98714286,,,,,,,
1907,7.95,,8.244285714,,1907,San Diego,United States,15.74,,15.87857143,,,,,,,
1908,8.19,,8.194285714,,1908,San Diego,United States,15.36,,15.78285714,,,,,,,
1909,8.18,,8.177142857,,1909,San Diego,United States,15.35,,15.78714286,,,,,,,
1910,8.22,,8.177142857,,1910,San Diego,United States,16.12,,15.84142857,,,,,,,
1911,8.18,,8.19,,1911,San Diego,United States,15.43,,15.70571429,,,,,,,
1912,8.17,,8.181428571,,1912,San Diego,United States,15.33,,15.62142857,,,,,,,
1913,8.3,,8.17,,1913,San Diego,United States,15.41,,15.53428571,,,,,,,
1914,8.59,,8.261428571,,1914,San Diego,United States,16.03,,15.57571429,,,,,,,
1915,8.59,,8.318571429,,1915,San Diego,United States,15.68,,15.62142857,,,,,,,
1916,8.23,,8.325714286,,1916,San Diego,United States,15.09,,15.58428571,,,,,,,
1917,8.02,,8.297142857,,1917,San Diego,United States,15.65,,15.51714286,,,,,,,
1918,8.13,,8.29,,1918,San Diego,United States,16.13,,15.61714286,,,,,,,
1919,8.38,,8.32,,1919,San Diego,United States,15.55,,15.64857143,,,,,,,
1920,8.36,,8.328571429,,1920,San Diego,United States,15.4,,15.64714286,,,,,,,
1921,8.57,,8.325714286,,1921,San Diego,United States,15.74,,15.60571429,,,,,,,
1922,8.41,,8.3,,1922,San Diego,United States,15.49,,15.57857143,,,,,,,
1923,8.42,,8.327142857,,1923,San Diego,United States,15.66,,15.66,,,,,,,
1924,8.51,,8.397142857,,1924,San Diego,United States,15.75,,15.67428571,,,,,,,
1925,8.53,,8.454285714,,1925,San Diego,United States,16.02,,15.65857143,,,,,,,
1926,8.73,,8.504285714,,1926,San Diego,United States,16.5,,15.79428571,,,,,,,
1927,8.52,,8.527142857,,1927,San Diego,United States,15.84,,15.85714286,,,,,,,
1928,8.63,,8.535714286,,1928,San Diego,United States,16.13,,15.91285714,,,,,,,
1929,8.24,,8.511428571,,1929,San Diego,United States,16.16,,16.00857143,,,,,,,
1930,8.63,,8.541428571,,1930,San Diego,United States,16.1,,16.07142857,,,,,,,
1931,8.72,,8.571428571,,1931,San Diego,United States,17.08,,16.26142857,,,,,,,
1932,8.71,,8.597142857,,1932,San Diego,United States,15.64,,16.20714286,,,,,,,
1933,8.34,,8.541428571,,1933,San Diego,United States,15.19,,16.02,,,,,,,
